year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2010,ACCESS-ESM1-5,r2i1p1f1,historical,2.49,4.46,3.34,5.1,4.99,2.77,7.8,4.44
2011,ACCESS-ESM1-5,r1i1p1f1,historical,1.0,2.63,8.69,8.93,8.73,4.91,11.45,7.06
2011,ACCESS-ESM1-5,r2i1p1f1,historical,2.1,2.75,2.58,1.0,4.06,15.87,4.53,3.66
2012,ACCESS-ESM1-5,r1i1p1f1,historical,5.85,1.86,4.98,2.61,2.81,2.56,3.79,4.12
2012,ACCESS-ESM1-5,r2i1p1f1,historical,3.83,2.62,2.76,1.09,4.25,4.29,2.63,3.16
2013,ACCESS-ESM1-5,r1i1p1f1,historical,9.91,3.9,4.0,2.1,7.56,4.09,5.82,5.95
2013,ACCESS-ESM1-5,r2i1p1f1,historical,5.15,1.22,3.93,3.26,6.12,2.29,3.5,4.05
2014,ACCESS-ESM1-5,r1i1p1f1,historical,2.4,1.09,4.71,2.61,3.04,1.66,5.3,3.62
2014,ACCESS-ESM1-5,r2i1p1f1,historical,4.87,2.45,2.57,2.4,4.95,0.65,3.71,3.49
2015,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.62,3.16,2.08,4.87,3.16,15.2,3.09,2.92
2015,ACCESS-ESM1-5,r2i1p1f1,ssp370,5.74,6.44,7.18,5.27,6.23,1.37,8.63,6.68
2016,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.7,2.37,3.39,3.29,2.31,3.47,4.32,2.82
2016,ACCESS-ESM1-5,r2i1p1f1,ssp370,12.16,1.45,6.81,5.05,6.92,2.32,7.41,7.22
2017,ACCESS-ESM1-5,r1i1p1f1,ssp370,0.03,0.57,0.86,1.45,1.71,1.1,1.13,0.88
2017,ACCESS-ESM1-5,r2i1p1f1,ssp370,4.47,1.36,3.77,1.25,1.71,0.35,2.03,2.81
2018,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.12,0.97,3.64,2.88,4.68,2.38,4.32,3.12
2018,ACCESS-ESM1-5,r2i1p1f1,ssp370,11.69,10.67,6.11,7.85,1.95,1.84,5.09,6.64
2019,ACCESS-ESM1-5,r1i1p1f1,ssp370,7.36,2.09,3.96,3.32,3.16,2.48,2.45,3.93
2019,ACCESS-ESM1-5,r2i1p1f1,ssp370,0.88,1.22,2.46,1.57,5.86,0.98,1.89,2.34
