year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
2054,ACCESS-ESM1-5,r1i1p1f1,ssp370,12.55,16.44,10.34,10.17,8.22,12.79,8.75,10.81
2055,ACCESS-ESM1-5,r1i1p1f1,ssp370,10.24,5.34,6.21,11.21,7.86,2.56,7.05,7.28
2056,ACCESS-ESM1-5,r1i1p1f1,ssp370,11.77,6.44,5.98,13.03,8.95,14.12,3.12,7.53
2057,ACCESS-ESM1-5,r1i1p1f1,ssp370,12.28,3.75,7.86,13.12,6.37,2.67,10.54,8.55
2058,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.46,4.46,5.12,6.18,9.47,13.69,6.55,6.26
2059,ACCESS-ESM1-5,r1i1p1f1,ssp370,9.49,6.92,12.85,6.73,5.36,5.67,7.93,9.09
2060,ACCESS-ESM1-5,r1i1p1f1,ssp370,13.96,12.95,7.17,15.77,4.47,19.68,9.33,9.83
2061,ACCESS-ESM1-5,r1i1p1f1,ssp370,8.83,8.57,4.87,3.86,6.57,9.49,10.68,7.57
2062,ACCESS-ESM1-5,r1i1p1f1,ssp370,15.94,8.56,10.86,18.19,12.86,21.2,11.42,12.67
2063,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.03,7.07,7.76,9.14,10.0,4.82,9.41,7.55
2064,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.6,1.46,9.19,4.16,5.01,3.0,13.96,7.73
2065,ACCESS-ESM1-5,r1i1p1f1,ssp370,17.68,5.33,11.46,4.99,12.13,2.9,7.36,10.79
2066,ACCESS-ESM1-5,r1i1p1f1,ssp370,11.1,12.11,6.07,8.86,10.49,25.41,7.77,9.51
2067,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.51,5.73,8.87,9.73,9.54,28.18,6.5,8.43
2068,ACCESS-ESM1-5,r1i1p1f1,ssp370,12.15,11.24,7.52,9.81,7.54,16.27,10.37,9.78
2069,ACCESS-ESM1-5,r1i1p1f1,ssp370,2.38,4.06,8.07,8.92,7.48,2.04,8.63,6.4
2070,ACCESS-ESM1-5,r1i1p1f1,ssp370,10.11,9.5,9.72,13.24,6.43,12.43,7.78,9.11
2071,ACCESS-ESM1-5,r1i1p1f1,ssp370,7.44,5.96,10.3,4.16,11.75,14.26,6.38,8.78
2072,ACCESS-ESM1-5,r1i1p1f1,ssp370,8.61,3.01,8.43,7.0,11.69,5.31,10.99,8.77
2073,ACCESS-ESM1-5,r1i1p1f1,ssp370,11.31,5.57,11.68,10.19,6.1,14.3,7.98,9.55
2074,ACCESS-ESM1-5,r1i1p1f1,ssp370,7.29,6.26,8.18,7.79,18.65,18.74,13.62,10.91
2075,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.46,1.01,4.59,3.36,5.29,4.36,2.74,3.35
2076,ACCESS-ESM1-5,r1i1p1f1,ssp370,3.22,1.76,8.66,2.61,12.02,6.41,11.99,7.88
2077,ACCESS-ESM1-5,r1i1p1f1,ssp370,4.75,12.99,3.35,14.73,6.49,22.96,5.68,6.62
2078,ACCESS-ESM1-5,r1i1p1f1,ssp370,16.13,7.28,9.18,11.06,13.77,12.57,9.24,11.21
2079,ACCESS-ESM1-5,r1i1p1f1,ssp370,1.35,2.66,7.34,2.4,16.54,0.93,9.71,7.17
2080,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.09,3.82,5.34,4.62,8.05,7.8,6.08,5.78
2081,ACCESS-ESM1-5,r1i1p1f1,ssp370,26.04,9.24,18.37,10.68,12.48,10.29,19.7,17.82
2082,ACCESS-ESM1-5,r1i1p1f1,ssp370,5.84,2.76,5.53,4.47,8.27,3.4,7.94,6.09
2083,ACCESS-ESM1-5,r1i1p1f1,ssp370,13.13,7.01,8.73,9.28,11.38,16.95,11.73,10.78
2084,ACCESS-ESM1-5,r1i1p1f1,ssp370,19.42,14.66,18.59,14.17,15.53,8.2,22.07,18.06
2085,ACCESS-ESM1-5,r1i1p1f1,ssp370,26.93,10.85,21.45,13.52,17.34,11.06,21.48,20.23
