year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1994,ACCESS-ESM1-5,r1i1p1f1,historical,25.02,34.65,26.65,32.56,53.02,12.26,48.91,34.96
1994,ACCESS-ESM1-5,r2i1p1f1,historical,30.32,34.51,31.02,48.07,51.31,11.57,44.51,36.5
1995,ACCESS-ESM1-5,r1i1p1f1,historical,48.37,34.34,35.11,39.9,43.52,5.4,47.37,40.09
1995,ACCESS-ESM1-5,r2i1p1f1,historical,32.86,24.64,32.73,29.48,38.01,5.11,40.04,32.94
1996,ACCESS-ESM1-5,r1i1p1f1,historical,50.15,49.16,43.87,56.44,56.59,8.31,53.76,48.19
1996,ACCESS-ESM1-5,r2i1p1f1,historical,36.55,29.14,33.28,35.4,48.87,7.46,47.37,37.56
1997,ACCESS-ESM1-5,r1i1p1f1,historical,63.34,45.49,41.35,38.79,54.95,8.26,51.67,48.46
1997,ACCESS-ESM1-5,r2i1p1f1,historical,42.51,34.71,33.64,35.82,53.25,7.68,44.69,39.44
1998,ACCESS-ESM1-5,r1i1p1f1,historical,48.2,43.46,43.86,37.77,55.84,10.19,55.03,47.01
1998,ACCESS-ESM1-5,r2i1p1f1,historical,19.54,23.96,28.49,31.9,50.26,9.15,48.89,32.9
1999,ACCESS-ESM1-5,r1i1p1f1,historical,47.21,44.71,36.37,44.77,52.44,10.72,52.06,43.82
1999,ACCESS-ESM1-5,r2i1p1f1,historical,42.07,30.89,43.92,41.11,51.19,10.73,55.98,44.3
2000,ACCESS-ESM1-5,r1i1p1f1,historical,35.79,28.84,35.13,43.97,49.61,8.06,47.62,38.35
2000,ACCESS-ESM1-5,r2i1p1f1,historical,29.99,30.01,35.5,39.99,52.19,8.84,54.06,39.07
2001,ACCESS-ESM1-5,r1i1p1f1,historical,48.19,33.32,38.67,36.27,48.35,8.33,48.9,42.06
2001,ACCESS-ESM1-5,r2i1p1f1,historical,46.26,34.01,36.54,44.12,55.4,8.32,55.56,43.71
2002,ACCESS-ESM1-5,r1i1p1f1,historical,43.92,34.22,34.31,44.47,56.43,7.93,50.85,41.81
2002,ACCESS-ESM1-5,r2i1p1f1,historical,56.98,37.68,36.3,38.64,56.17,7.71,48.22,44.48
2003,ACCESS-ESM1-5,r1i1p1f1,historical,41.67,30.97,36.51,50.94,56.67,6.93,56.67,43.07
2003,ACCESS-ESM1-5,r2i1p1f1,historical,46.96,46.14,32.79,48.81,52.84,11.58,48.56,42.35
2004,ACCESS-ESM1-5,r1i1p1f1,historical,38.14,22.95,36.05,27.34,52.24,6.46,52.81,39.43
2004,ACCESS-ESM1-5,r2i1p1f1,historical,37.52,40.17,38.45,41.03,50.05,11.6,56.48,42.65
2005,ACCESS-ESM1-5,r1i1p1f1,historical,44.96,41.43,40.47,39.22,50.39,7.61,45.77,42.45
2005,ACCESS-ESM1-5,r2i1p1f1,historical,47.03,36.59,38.11,53.9,52.98,7.71,50.44,43.41
2006,ACCESS-ESM1-5,r1i1p1f1,historical,51.42,55.6,34.82,76.83,61.94,8.8,56.54,48.25
2006,ACCESS-ESM1-5,r2i1p1f1,historical,35.0,40.47,37.69,50.73,53.91,9.44,53.71,42.15
2007,ACCESS-ESM1-5,r1i1p1f1,historical,49.78,29.6,38.16,45.93,53.12,7.57,55.86,44.19
2007,ACCESS-ESM1-5,r2i1p1f1,historical,44.82,36.21,34.08,45.48,52.05,8.7,48.03,40.95
2008,ACCESS-ESM1-5,r1i1p1f1,historical,55.3,38.25,37.42,37.09,54.9,6.84,49.9,44.62
2008,ACCESS-ESM1-5,r2i1p1f1,historical,34.0,22.04,35.86,34.83,53.89,6.86,52.61,38.92
2009,ACCESS-ESM1-5,r1i1p1f1,historical,48.37,47.4,36.79,44.74,54.24,8.25,47.26,43.61
2009,ACCESS-ESM1-5,r2i1p1f1,historical,31.61,29.55,35.46,40.03,59.64,6.77,54.66,40.44
2010,ACCESS-ESM1-5,r1i1p1f1,historical,35.7,39.47,38.31,44.22,53.7,8.34,51.08,41.59
2010,ACCESS-ESM1-5,r2i1p1f1,historical,40.42,37.04,34.97,42.26,52.01,8.5,55.08,41.78
2011,ACCESS-ESM1-5,r1i1p1f1,historical,34.27,33.68,41.56,46.59,59.3,8.69,61.66,44.77
2011,ACCESS-ESM1-5,r2i1p1f1,historical,37.29,29.29,34.87,39.86,54.96,9.85,51.46,40.12
2012,ACCESS-ESM1-5,r1i1p1f1,historical,46.65,30.51,37.81,36.63,57.97,8.41,52.41,43.37
2012,ACCESS-ESM1-5,r2i1p1f1,historical,47.54,35.69,34.87,32.29,53.58,9.24,54.67,42.89
2013,ACCESS-ESM1-5,r1i1p1f1,historical,55.03,37.65,35.91,32.81,61.48,8.63,52.68,45.55
2013,ACCESS-ESM1-5,r2i1p1f1,historical,56.55,35.56,42.16,36.87,55.19,7.42,58.13,47.73
2014,ACCESS-ESM1-5,r1i1p1f1,historical,40.88,30.39,38.03,37.39,49.43,7.3,50.69,40.71
2014,ACCESS-ESM1-5,r2i1p1f1,historical,50.56,33.65,33.58,40.43,53.97,6.52,49.53,42.0
2015,ACCESS-ESM1-5,r1i1p1f1,ssp370,35.37,30.12,34.07,36.94,53.44,10.25,50.28,39.08
2015,ACCESS-ESM1-5,r2i1p1f1,ssp370,49.92,42.2,40.82,40.04,53.3,6.71,62.32,47.32
2016,ACCESS-ESM1-5,r1i1p1f1,ssp370,32.86,31.93,37.05,37.22,55.03,9.29,49.66,39.72
2016,ACCESS-ESM1-5,r2i1p1f1,ssp370,48.97,30.48,46.52,42.76,63.45,8.01,52.71,47.41
2017,ACCESS-ESM1-5,r1i1p1f1,ssp370,26.83,22.42,30.51,32.72,51.78,6.56,46.13,34.31
2017,ACCESS-ESM1-5,r2i1p1f1,ssp370,49.71,27.41,41.79,35.89,47.44,6.17,51.74,43.05
2018,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.56,26.86,38.81,38.21,53.38,8.77,49.93,40.49
2018,ACCESS-ESM1-5,r2i1p1f1,ssp370,59.18,55.54,39.06,57.63,49.75,7.22,52.68,47.84
2019,ACCESS-ESM1-5,r1i1p1f1,ssp370,47.46,34.65,33.37,45.7,49.16,7.94,47.74,40.59
2019,ACCESS-ESM1-5,r2i1p1f1,ssp370,35.57,31.48,33.16,36.72,53.18,7.23,52.62,39.26
2020,ACCESS-ESM1-5,r1i1p1f1,ssp370,45.58,46.5,37.31,41.83,51.0,8.55,57.6,44.69
2020,ACCESS-ESM1-5,r2i1p1f1,ssp370,56.48,41.49,47.47,59.67,55.56,9.2,57.21,50.41
2021,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.22,31.72,36.28,39.33,55.56,9.31,54.32,42.34
2021,ACCESS-ESM1-5,r2i1p1f1,ssp370,42.52,36.94,35.14,66.95,53.41,13.85,50.37,42.37
2022,ACCESS-ESM1-5,r1i1p1f1,ssp370,46.41,33.32,42.3,60.56,54.32,9.78,59.22,46.47
2022,ACCESS-ESM1-5,r2i1p1f1,ssp370,42.76,30.48,35.6,36.8,56.7,9.27,51.52,41.65
2023,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.97,34.66,34.46,43.92,54.51,11.92,55.11,41.51
2023,ACCESS-ESM1-5,r2i1p1f1,ssp370,51.43,33.92,34.67,43.12,47.23,7.67,47.25,41.2
2024,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.45,49.52,38.54,64.14,46.48,9.44,50.9,42.42
2024,ACCESS-ESM1-5,r2i1p1f1,ssp370,36.38,31.2,34.54,48.87,58.28,7.61,46.2,39.6
2025,ACCESS-ESM1-5,r1i1p1f1,ssp370,21.91,26.24,35.01,38.08,60.5,8.89,51.67,37.71
2025,ACCESS-ESM1-5,r2i1p1f1,ssp370,25.49,29.37,31.61,39.52,62.32,7.37,52.39,38.06
2026,ACCESS-ESM1-5,r1i1p1f1,ssp370,25.17,21.48,35.4,37.09,56.35,6.38,54.02,37.73
2026,ACCESS-ESM1-5,r2i1p1f1,ssp370,53.35,50.94,40.59,58.29,59.55,9.72,53.82,48.54
2027,ACCESS-ESM1-5,r1i1p1f1,ssp370,43.2,37.3,39.88,40.48,50.54,6.96,49.61,42.36
2027,ACCESS-ESM1-5,r2i1p1f1,ssp370,44.48,43.83,36.66,51.91,62.6,11.89,53.53,45.33
2028,ACCESS-ESM1-5,r1i1p1f1,ssp370,52.3,45.33,39.43,53.59,50.01,9.59,47.68,44.71
2028,ACCESS-ESM1-5,r2i1p1f1,ssp370,25.96,29.54,34.4,42.08,60.87,11.06,47.78,38.08
2029,ACCESS-ESM1-5,r1i1p1f1,ssp370,37.57,38.24,36.47,45.79,54.82,8.57,51.56,41.59
2029,ACCESS-ESM1-5,r2i1p1f1,ssp370,49.26,39.7,36.9,37.54,51.55,8.23,56.73,44.41
2030,ACCESS-ESM1-5,r1i1p1f1,ssp370,33.09,23.19,37.11,39.12,54.54,9.94,47.87,38.62
2030,ACCESS-ESM1-5,r2i1p1f1,ssp370,57.31,47.17,39.52,46.43,54.66,9.9,54.3,47.7
2031,ACCESS-ESM1-5,r1i1p1f1,ssp370,45.86,33.08,36.8,33.95,45.21,7.12,49.0,40.48
2031,ACCESS-ESM1-5,r2i1p1f1,ssp370,52.73,52.8,41.68,53.18,53.58,9.36,54.53,48.04
2032,ACCESS-ESM1-5,r1i1p1f1,ssp370,45.64,38.69,34.86,42.46,53.57,9.04,51.02,42.33
2032,ACCESS-ESM1-5,r2i1p1f1,ssp370,48.85,40.79,35.28,41.7,51.94,11.25,51.89,43.28
2033,ACCESS-ESM1-5,r1i1p1f1,ssp370,29.18,23.22,35.21,36.23,55.33,7.95,49.07,37.5
2033,ACCESS-ESM1-5,r2i1p1f1,ssp370,69.09,51.76,43.78,48.82,62.65,8.48,54.97,52.94
2034,ACCESS-ESM1-5,r1i1p1f1,ssp370,46.58,48.18,40.88,49.22,55.59,8.01,61.49,47.73
2034,ACCESS-ESM1-5,r2i1p1f1,ssp370,64.74,52.7,41.92,55.43,59.68,9.09,57.38,51.9
2035,ACCESS-ESM1-5,r1i1p1f1,ssp370,35.28,34.57,35.92,42.73,49.82,7.84,47.06,38.9
2035,ACCESS-ESM1-5,r2i1p1f1,ssp370,52.42,42.97,36.1,38.12,53.8,8.95,50.49,44.2
2036,ACCESS-ESM1-5,r1i1p1f1,ssp370,45.15,29.73,36.75,43.34,58.28,7.79,52.64,42.94
2036,ACCESS-ESM1-5,r2i1p1f1,ssp370,45.19,35.66,35.51,46.52,59.12,7.96,53.71,43.57
2037,ACCESS-ESM1-5,r1i1p1f1,ssp370,44.72,48.11,33.16,47.72,54.11,9.48,49.46,42.46
2037,ACCESS-ESM1-5,r2i1p1f1,ssp370,53.14,53.08,34.67,57.54,59.79,12.0,48.98,46.08
2038,ACCESS-ESM1-5,r1i1p1f1,ssp370,62.46,52.13,42.98,57.36,56.49,9.54,55.69,51.0
2038,ACCESS-ESM1-5,r2i1p1f1,ssp370,63.47,52.91,39.85,55.42,59.96,9.65,54.99,50.65
2039,ACCESS-ESM1-5,r1i1p1f1,ssp370,70.88,53.82,36.76,48.06,58.58,9.49,54.72,50.77
2039,ACCESS-ESM1-5,r2i1p1f1,ssp370,46.51,48.52,43.43,46.27,63.33,13.92,55.85,48.68
2040,ACCESS-ESM1-5,r1i1p1f1,ssp370,30.15,29.22,36.08,37.42,60.28,7.23,50.2,39.46
2040,ACCESS-ESM1-5,r2i1p1f1,ssp370,27.61,26.19,31.99,37.55,48.15,9.06,43.17,34.37
2041,ACCESS-ESM1-5,r1i1p1f1,ssp370,48.91,41.19,38.17,47.14,53.57,9.94,55.06,45.15
2041,ACCESS-ESM1-5,r2i1p1f1,ssp370,33.54,24.32,35.13,39.03,51.82,12.23,49.07,38.16
2042,ACCESS-ESM1-5,r1i1p1f1,ssp370,28.03,39.02,33.65,46.9,54.93,10.57,52.27,39.29
2042,ACCESS-ESM1-5,r2i1p1f1,ssp370,50.6,28.92,40.42,32.69,55.24,8.44,53.91,44.55
2043,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.26,21.21,38.32,30.3,60.23,11.01,50.62,41.73
2043,ACCESS-ESM1-5,r2i1p1f1,ssp370,40.69,33.91,39.64,56.63,51.83,8.59,50.71,42.4
2044,ACCESS-ESM1-5,r1i1p1f1,ssp370,47.85,41.93,39.6,44.21,54.92,9.97,52.44,45.04
2044,ACCESS-ESM1-5,r2i1p1f1,ssp370,56.08,50.0,37.21,47.12,55.88,11.32,52.21,46.88
2045,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.48,47.03,38.36,49.35,67.41,11.23,60.39,47.75
2045,ACCESS-ESM1-5,r2i1p1f1,ssp370,39.56,37.78,36.47,38.34,57.14,11.41,49.62,41.8
2046,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.55,47.59,40.21,36.95,63.94,10.69,60.83,47.59
2046,ACCESS-ESM1-5,r2i1p1f1,ssp370,47.78,44.37,37.42,38.08,62.8,9.0,56.87,46.44
2047,ACCESS-ESM1-5,r1i1p1f1,ssp370,34.03,34.68,37.21,54.88,65.8,12.98,52.14,42.96
2047,ACCESS-ESM1-5,r2i1p1f1,ssp370,42.34,23.21,36.38,41.55,53.76,7.07,54.69,41.36
2048,ACCESS-ESM1-5,r1i1p1f1,ssp370,36.02,33.08,38.18,35.05,55.02,10.22,50.78,40.98
2048,ACCESS-ESM1-5,r2i1p1f1,ssp370,43.3,37.45,40.09,38.32,56.8,7.41,55.71,44.56
2049,ACCESS-ESM1-5,r1i1p1f1,ssp370,43.91,45.36,37.36,46.15,61.53,10.66,55.75,45.66
2049,ACCESS-ESM1-5,r2i1p1f1,ssp370,55.76,34.81,40.54,42.76,57.17,10.84,55.96,47.19
2050,ACCESS-ESM1-5,r1i1p1f1,ssp370,39.68,35.0,42.59,39.74,51.1,10.68,55.71,43.73
2050,ACCESS-ESM1-5,r2i1p1f1,ssp370,61.28,36.36,38.62,33.8,59.28,8.89,60.56,48.73
2051,ACCESS-ESM1-5,r1i1p1f1,ssp370,59.0,36.1,43.27,41.9,62.18,8.34,53.63,48.87
2051,ACCESS-ESM1-5,r2i1p1f1,ssp370,60.61,37.38,39.24,36.09,52.34,10.43,58.48,47.58
2052,ACCESS-ESM1-5,r1i1p1f1,ssp370,49.99,51.52,39.75,57.54,58.77,10.67,55.28,47.91
2052,ACCESS-ESM1-5,r2i1p1f1,ssp370,56.54,44.36,39.12,45.55,58.65,10.26,57.38,48.37
2053,ACCESS-ESM1-5,r1i1p1f1,ssp370,56.06,54.87,47.93,66.25,66.91,10.4,61.97,54.57
2053,ACCESS-ESM1-5,r2i1p1f1,ssp370,66.61,49.84,46.98,57.32,60.44,12.35,58.98,54.13
2054,ACCESS-ESM1-5,r1i1p1f1,ssp370,54.57,51.86,44.88,57.14,61.05,11.21,55.18,50.66
2054,ACCESS-ESM1-5,r2i1p1f1,ssp370,62.9,50.82,52.78,49.28,54.81,11.54,53.59,53.07
2055,ACCESS-ESM1-5,r1i1p1f1,ssp370,52.82,38.05,37.93,53.75,58.3,8.48,51.78,45.67
2055,ACCESS-ESM1-5,r2i1p1f1,ssp370,67.86,46.73,41.79,44.62,64.24,6.0,54.94,51.65
2056,ACCESS-ESM1-5,r1i1p1f1,ssp370,52.1,38.72,37.37,54.78,57.8,9.96,48.67,44.82
2056,ACCESS-ESM1-5,r2i1p1f1,ssp370,64.3,48.52,44.6,47.54,56.7,7.28,61.52,52.33
2057,ACCESS-ESM1-5,r1i1p1f1,ssp370,57.42,35.62,38.25,58.74,54.28,8.2,55.1,46.62
2057,ACCESS-ESM1-5,r2i1p1f1,ssp370,40.97,28.45,43.07,35.98,51.32,7.09,55.76,43.29
2058,ACCESS-ESM1-5,r1i1p1f1,ssp370,42.53,34.97,35.15,41.21,60.33,10.83,55.94,43.5
2058,ACCESS-ESM1-5,r2i1p1f1,ssp370,57.72,63.78,40.91,62.31,59.41,11.59,51.04,50.28
2059,ACCESS-ESM1-5,r1i1p1f1,ssp370,57.19,39.42,48.03,47.04,52.89,8.35,57.92,49.9
2059,ACCESS-ESM1-5,r2i1p1f1,ssp370,47.08,43.94,44.46,69.16,57.51,12.42,53.86,47.96
2060,ACCESS-ESM1-5,r1i1p1f1,ssp370,54.05,54.61,40.01,64.75,53.59,14.44,53.72,48.34
2060,ACCESS-ESM1-5,r2i1p1f1,ssp370,50.15,41.95,44.84,56.61,62.81,13.34,54.35,49.05
